Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
343,Western Michigan,32,13,19,0.406,-5.42,-0.25,,6,12,,10,5,,3,12,,69.4,72.1,,40.5,24.0,56.0,0.428,7.13,21.1,0.337,14.3,20.0,0.715,8.63,35.0,11.1,4.75,2.28,13.0,17.9
344,Wichita State,31,23,8,0.742,13.66,5.6,,11,7,,17,2,,5,5,,71.8,63.8,,40.3,24.8,61.0,0.407,7.87,24.0,0.328,14.4,20.6,0.697,12.1,39.3,14.1,7.06,3.71,12.8,18.6
345,William & Mary,32,21,11,0.656,-2.46,-3.1,,13,5,,11,2,,10,7,,71.5,69.0,,40.0,25.7,55.3,0.464,7.47,21.6,0.346,12.7,17.0,0.744,8.28,36.0,13.6,4.31,4.0,12.6,15.6
346,Winthrop,34,24,10,0.706,1.16,-6.53,,15,3,,11,4,,10,6,,81.3,71.5,,40.4,28.8,62.4,0.462,9.47,27.4,0.346,14.2,22.4,0.636,13.2,40.8,15.9,6.62,2.47,13.9,20.1
347,Wisconsin,31,21,10,0.677,15.95,10.95,,14,6,,15,1,,6,6,,67.2,62.2,,40.2,23.5,55.4,0.425,8.68,24.6,0.352,11.4,14.9,0.764,8.1,33.9,12.0,4.45,3.68,9.97,15.4
348,Wofford,35,19,16,0.543,0.17,-1.5,,8,10,,10,5,,6,10,,72.1,68.5,,40.4,26.0,56.3,0.462,9.6,27.1,0.354,10.5,14.8,0.712,7.77,31.3,13.3,5.66,2.6,12.1,16.9
349,Wright State,32,25,7,0.781,2.46,-6.21,,15,3,,14,2,,9,3,,80.6,70.8,,40.5,28.7,62.8,0.456,7.72,21.4,0.361,15.6,23.2,0.673,12.1,40.0,13.8,6.53,3.53,12.4,16.1
350,Wyoming,33,9,24,0.273,-3.05,4.82,,2,16,,4,13,,3,8,,62.7,69.9,,40.5,21.6,52.7,0.409,7.88,24.5,0.321,11.7,16.1,0.727,4.88,29.5,11.3,5.3,2.0,12.7,19.0
351,Xavier,32,19,13,0.594,12.57,9.47,,8,10,,12,5,,5,6,,70.7,67.6,,40.8,26.0,59.8,0.436,6.47,20.8,0.312,12.1,18.4,0.658,11.9,38.8,14.4,6.28,3.56,13.9,16.7
352,Yale,30,23,7,0.767,6.63,-1.51,,11,3,,10,1,,11,6,,76.3,65.1,,41.3,27.0,57.5,0.469,8.83,23.8,0.371,13.5,19.0,0.712,9.1,38.9,15.5,6.27,3.37,13.0,15.0
353,Youngstown State,33,18,15,0.545,-5.56,-4.79,,10,8,,13,4,,5,11,,72.8,71.2,,40.5,26.4,62.3,0.423,7.15,23.2,0.308,12.9,18.7,0.69,13.7,39.0,12.5,5.7,2.58,12.0,17.5
